                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.79429,                0.93614,                0.56597,                 1.0025,                0.99909,                0.93333,                0.98794,                0.68098,                0.99909,                0.93333,                0.98794,                0.83314,                0.99978,                0.92673,                 0.7696,                 1.2816,              0.0017591,              0.0017591,              0.0017591
                     76,                0.77434,                 1.0212,                0.60479,                 1.0045,                0.99553,                      1,                  0.995,                0.74211,                0.99553,                      1,                  0.995,                0.83668,                 0.8931,                0.93839,                0.79429,                 1.1991,              0.0017558,              0.0017558,              0.0017558
                     77,                0.81082,                 1.0387,                0.59773,                  1.036,                0.99389,                      1,                  0.995,                0.69374,                0.99389,                      1,                  0.995,                0.85623,                0.88851,                0.76164,                0.78623,                 1.2228,              0.0017525,              0.0017525,              0.0017525
                     78,                0.73294,                0.96625,                0.56393,                0.99964,                 0.9946,                      1,                  0.995,                0.75683,                 0.9946,                      1,                  0.995,                0.86355,                0.91008,                0.77864,                0.71145,                 1.2216,              0.0017492,              0.0017492,              0.0017492
                     79,                  0.762,                 1.0714,                0.57021,                  1.009,                0.99397,                      1,                  0.995,                0.79993,                0.99397,                      1,                  0.995,                0.84614,                0.95098,                0.96023,                0.63631,                 1.2304,              0.0017459,              0.0017459,              0.0017459
                     80,                0.76512,                0.99561,                0.59987,                  1.018,                0.99471,                      1,                  0.995,                0.78896,                0.99471,                      1,                  0.995,                0.84893,                0.90375,                0.84363,                0.63249,                  1.162,              0.0017426,              0.0017426,              0.0017426
                     81,                0.73999,                0.85057,                0.54519,                 0.9963,                0.99487,                      1,                  0.995,                0.83033,                0.99487,                      1,                  0.995,                0.85944,                0.80467,                0.82562,                0.63547,                  1.102,              0.0017393,              0.0017393,              0.0017393
                     82,                0.76577,                 1.0176,                0.59374,                 1.0225,                0.99459,                      1,                  0.995,                0.84631,                0.99459,                      1,                  0.995,                 0.8774,                0.73958,                0.79123,                0.61431,                 1.0868,               0.001736,               0.001736,               0.001736
                     83,                0.77397,                0.86749,                0.60379,                  1.032,                0.98909,                      1,                  0.995,                0.77763,                0.98909,                      1,                  0.995,                0.87019,                0.79658,                0.81724,                0.59224,                 1.1356,              0.0017327,              0.0017327,              0.0017327
                     84,                0.73049,                0.79321,                0.56282,                 1.0177,                0.99305,                      1,                  0.995,                0.80686,                0.99305,                      1,                  0.995,                0.86968,                0.78932,                0.86012,                0.57117,                 1.1111,              0.0017294,              0.0017294,              0.0017294
                     85,                0.83989,                0.94354,                0.61771,                 1.0611,                0.99426,                      1,                  0.995,                0.72033,                0.99426,                      1,                  0.995,                0.85778,                0.85156,                0.88758,                0.59315,                 1.1817,              0.0017261,              0.0017261,              0.0017261
                     86,                0.78577,                0.88091,                0.60285,                  1.048,                0.99401,                      1,                  0.995,                0.76216,                0.99401,                      1,                  0.995,                0.83954,                0.78217,                 0.8936,                 0.6061,                 1.1027,              0.0017228,              0.0017228,              0.0017228
                     87,                0.75829,                0.93236,                0.59363,                 1.0186,                0.99482,                      1,                  0.995,                0.76256,                0.99482,                      1,                  0.995,                0.87586,                 0.7669,                0.84983,                0.59326,                 1.0731,              0.0017195,              0.0017195,              0.0017195
                     88,                0.73862,                0.88693,                0.58809,                 1.0283,                0.99458,                      1,                  0.995,                0.82148,                0.99458,                      1,                  0.995,                0.88246,                0.67573,                0.82799,                0.62731,                 1.0757,              0.0017162,              0.0017162,              0.0017162
                     89,                 0.7774,                0.94552,                 0.6021,                 1.0188,                0.99533,                      1,                  0.995,                0.82049,                0.99533,                      1,                  0.995,                0.87395,                0.73214,                0.77815,                0.59046,                  1.099,              0.0017129,              0.0017129,              0.0017129
                     90,                 0.7448,                0.84455,                0.58252,                 1.0192,                 0.9957,                      1,                  0.995,                0.83146,                 0.9957,                      1,                  0.995,                0.86993,                0.73095,                0.74771,                0.55698,                 1.0951,              0.0017096,              0.0017096,              0.0017096
                     91,                0.77676,                0.90582,                0.60907,                 1.0295,                0.99478,                      1,                  0.995,                0.81113,                0.99478,                      1,                  0.995,                0.83831,                0.80083,                0.78633,                0.57751,                 1.1381,              0.0017063,              0.0017063,              0.0017063
                     92,                0.73083,                0.77914,                0.55438,                 1.0341,                0.98451,                      1,                  0.995,                0.78243,                0.98451,                      1,                  0.995,                0.87073,                0.79799,                0.73001,                0.65307,                 1.2526,               0.001703,               0.001703,               0.001703
                     93,                0.77022,                0.88156,                0.57428,                 1.0372,                 0.9924,                      1,                  0.995,                  0.753,                 0.9924,                      1,                  0.995,                0.85634,                0.99262,                0.71965,                0.74267,                 1.3915,              0.0016997,              0.0016997,              0.0016997
