                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 2.0553,                 1.6921,                 2.0572,                 2.6243,                0.38983,                0.76471,                0.47544,                0.20661,                0.58739,                0.70588,                0.73068,                0.30507,                 2.6218,                 2.3629,                 3.4453,                 2.9327,              0.0017954,              0.0017954,              0.0017954
                     65,                 2.0773,                 1.5032,                 2.1022,                 2.5832,                0.85516,                0.76471,                0.84611,                0.37117,                0.85516,                0.76471,                0.85862,                0.48712,                 2.3383,                 1.7287,                 5.4134,                 2.6764,              0.0017921,              0.0017921,              0.0017921
                     66,                 2.0894,                 1.5387,                 2.0922,                 2.4409,                0.64238,                0.88235,                0.83526,                0.37908,                0.64238,                0.88235,                0.83526,                0.50759,                  2.312,                 1.1422,                 5.6037,                  2.661,              0.0017888,              0.0017888,              0.0017888
                     67,                  2.186,                 1.6243,                 2.0041,                 2.5739,                0.57094,                0.58824,                0.74236,                0.33314,                0.67471,                0.73287,                0.79403,                 0.4896,                 2.4961,                 1.1269,                 3.2877,                  2.806,              0.0017855,              0.0017855,              0.0017855
                     68,                 2.1062,                  1.424,                 1.9528,                 2.5329,                0.53506,                0.88235,                0.71241,                0.32027,                0.56955,                0.76471,                0.73318,                0.47109,                 2.4609,                0.98521,                 2.8628,                 2.7794,              0.0017822,              0.0017822,              0.0017822
                     69,                 2.0777,                 1.4035,                  1.946,                 2.5879,                0.56496,                0.70588,                   0.73,                0.35416,                0.56496,                0.70588,                0.73835,                0.51521,                 2.3153,                0.97546,                 2.2923,                 2.6754,              0.0017789,              0.0017789,              0.0017789
                     70,                 2.2097,                 1.6358,                 1.9019,                 2.6153,                0.62488,                0.70588,                0.72458,                0.27792,                0.62488,                0.70588,                0.72708,                0.47351,                 2.5717,                0.93423,                 2.0383,                 2.8912,              0.0017756,              0.0017756,              0.0017756
                     71,                 2.1513,                  1.536,                 1.7982,                  2.501,                0.40187,                0.41176,                0.39987,                0.12935,                0.64654,                0.64706,                0.68088,                0.33778,                  2.863,                0.93427,                  2.426,                 3.2095,              0.0017723,              0.0017723,              0.0017723
                     72,                 2.1316,                 1.4883,                 1.8364,                 2.5468,                0.63612,                0.70588,                0.67919,                0.19734,                0.80944,                 0.7503,                0.82084,                0.47975,                 2.8602,                0.87598,                 2.0027,                 3.1896,               0.001769,               0.001769,               0.001769
                     73,                  2.131,                 1.4627,                 1.8755,                 2.5564,                 0.7268,                0.70588,                0.84674,                 0.3118,                 0.7268,                0.70588,                0.84792,                0.56681,                 2.4872,                 0.9162,                 2.1125,                 2.8644,              0.0017657,              0.0017657,              0.0017657
                     74,                 2.0855,                 1.4578,                  1.741,                 2.4407,                0.57295,                0.78982,                  0.625,                0.23212,                0.63963,                 0.8357,                 0.7853,                0.43629,                 2.3873,                0.92024,                 1.6611,                  2.771,              0.0017624,              0.0017624,              0.0017624
