                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                   1.56,                 1.6677,                 1.1011,                 1.7504,                0.91055,                    0.5,                  0.695,                0.46687,                0.91055,                    0.5,                  0.695,                0.47649,                 1.5027,                 1.0264,                 1.3437,                 1.3737,              0.0018482,              0.0018482,              0.0018482
                     49,                 1.6985,                 1.6446,                 1.1912,                 1.7031,                0.97708,                      1,                  0.995,                0.64682,                0.97708,                      1,                  0.995,                0.56727,                 1.7289,                 1.0851,                 1.1483,                 1.5581,              0.0018449,              0.0018449,              0.0018449
                     50,                 1.5336,                 1.5677,                 1.1953,                 1.6797,                0.97708,                      1,                  0.995,                0.64682,                0.97708,                      1,                  0.995,                0.56727,                 1.7289,                 1.0851,                 1.1483,                 1.5581,              0.0018416,              0.0018416,              0.0018416
                     51,                 1.7842,                 1.6534,                  1.676,                 1.7113,                0.97708,                      1,                  0.995,                0.64682,                0.97708,                      1,                  0.995,                0.56727,                 1.7289,                 1.0851,                 1.1483,                 1.5581,              0.0018383,              0.0018383,              0.0018383
                     52,                 1.6131,                 1.5855,                 1.2252,                 1.7333,                0.98027,                      1,                  0.995,                0.64686,                0.98027,                      1,                  0.995,                0.60598,                 1.6614,                 1.0812,                 1.3973,                 1.6668,               0.001835,               0.001835,               0.001835
                     53,                 1.8205,                  1.455,                 1.3665,                 1.7904,                0.98027,                      1,                  0.995,                0.64686,                0.98027,                      1,                  0.995,                0.60598,                 1.6614,                 1.0812,                 1.3973,                 1.6668,              0.0018317,              0.0018317,              0.0018317
                     54,                 1.8866,                 1.8059,                 1.4047,                 1.8142,                0.98027,                      1,                  0.995,                0.64686,                0.98027,                      1,                  0.995,                0.60598,                 1.6614,                 1.0812,                 1.3973,                 1.6668,              0.0018284,              0.0018284,              0.0018284
                     55,                 1.6437,                 1.7842,                 1.1869,                 1.7027,                0.98029,                      1,                  0.995,                0.64687,                0.98029,                      1,                  0.995,                0.57944,                 1.6605,                 1.1788,                0.94711,                 1.8496,              0.0018251,              0.0018251,              0.0018251
                     56,                 1.7196,                 1.7693,                 1.3136,                 1.8855,                0.98029,                      1,                  0.995,                0.64687,                0.98029,                      1,                  0.995,                0.57944,                 1.6605,                 1.1788,                0.94711,                 1.8496,              0.0018218,              0.0018218,              0.0018218
                     57,                 1.7644,                 1.9004,                 1.3603,                 1.6963,                0.99074,                      1,                  0.995,                 0.6468,                0.99074,                      1,                  0.995,                0.61526,                 1.4459,                 1.1696,                0.83504,                 1.5351,              0.0018185,              0.0018185,              0.0018185
                     58,                 1.5734,                 1.5433,                 1.1413,                 1.6695,                0.99074,                      1,                  0.995,                 0.6468,                0.99074,                      1,                  0.995,                0.61526,                 1.4459,                 1.1696,                0.83504,                 1.5351,              0.0018152,              0.0018152,              0.0018152
                     59,                 1.5137,                 1.5555,                 1.1252,                 1.6332,                0.99074,                      1,                  0.995,                 0.6468,                0.99074,                      1,                  0.995,                0.61526,                 1.4459,                 1.1696,                0.83504,                 1.5351,              0.0018119,              0.0018119,              0.0018119
                     60,                 1.7471,                 1.4982,                 1.1658,                 1.6896,                      1,                0.98283,                  0.995,                0.79615,                      1,                0.98283,                  0.995,                0.71299,                  1.164,                 1.1709,                0.93888,                 1.0572,              0.0018086,              0.0018086,              0.0018086
                     61,                 1.7965,                 1.8482,                 1.1609,                 1.7051,                      1,                0.98283,                  0.995,                0.79615,                      1,                0.98283,                  0.995,                0.71299,                  1.164,                 1.1709,                0.93888,                 1.0572,              0.0018053,              0.0018053,              0.0018053
                     62,                 1.6339,                 1.7407,                 1.2156,                 1.6864,                      1,                0.98283,                  0.995,                0.79615,                      1,                0.98283,                  0.995,                0.71299,                  1.164,                 1.1709,                0.93888,                 1.0572,               0.001802,               0.001802,               0.001802
                     63,                 1.6273,                 1.8349,                 1.2636,                  1.754,                0.63591,                0.90774,                0.82833,                0.67948,                0.63591,                0.90774,                0.82833,                0.67249,                 1.0781,                 1.1786,                 1.2163,                0.95418,              0.0017987,              0.0017987,              0.0017987
                     64,                 1.7517,                  1.747,                  1.171,                 1.8001,                0.63591,                0.90774,                0.82833,                0.67948,                0.63591,                0.90774,                0.82833,                0.67249,                 1.0781,                 1.1786,                 1.2163,                0.95418,              0.0017954,              0.0017954,              0.0017954
