                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.4579,                0.92063,                 1.2542,                0.92618,                      1,                  0.995,                0.54712,                 1.9188,                  1.028,                 1.2635,              0.0017624,              0.0017624,              0.0017624
                     75,                 1.5464,                0.95484,                 1.1408,                0.92618,                      1,                  0.995,                0.54712,                 1.9188,                  1.028,                 1.2635,              0.0017591,              0.0017591,              0.0017591
                     76,                 1.4618,                  1.077,                 1.1725,                0.92685,                      1,                  0.995,                0.54702,                 1.7639,                 0.9124,                 1.1604,              0.0017558,              0.0017558,              0.0017558
                     77,                 1.3225,                0.96984,                 1.1961,                0.92685,                      1,                  0.995,                0.54702,                 1.7639,                 0.9124,                 1.1604,              0.0017525,              0.0017525,              0.0017525
                     78,                 1.5436,                0.94203,                  1.081,                0.92685,                      1,                  0.995,                0.54702,                 1.7639,                 0.9124,                 1.1604,              0.0017492,              0.0017492,              0.0017492
                     79,                  1.432,                0.84837,                 1.1505,                0.90282,                      1,                  0.995,                 0.6963,                 1.6274,                 1.1444,                 1.0562,              0.0017459,              0.0017459,              0.0017459
                     80,                 1.2644,                 1.0086,                 1.1288,                0.90282,                      1,                  0.995,                 0.6963,                 1.6274,                 1.1444,                 1.0562,              0.0017426,              0.0017426,              0.0017426
                     81,                 1.3214,                0.90905,                 1.1271,                0.93085,                      1,                  0.995,                0.69632,                 1.3212,                 1.1889,                0.94736,              0.0017393,              0.0017393,              0.0017393
                     82,                 1.3254,                0.93239,                 1.1568,                0.93085,                      1,                  0.995,                0.69632,                 1.3212,                 1.1889,                0.94736,               0.001736,               0.001736,               0.001736
                     83,                   1.57,                 1.0441,                 1.2392,                0.93085,                      1,                  0.995,                0.69632,                 1.3212,                 1.1889,                0.94736,              0.0017327,              0.0017327,              0.0017327
                     84,                 1.3906,                 1.0459,                 1.1105,                0.95323,                      1,                  0.995,                 0.6965,                 1.3101,                0.95544,                 1.0564,              0.0017294,              0.0017294,              0.0017294
                     85,                 1.5071,                0.92564,                 1.1405,                0.95323,                      1,                  0.995,                 0.6965,                 1.3101,                0.95544,                 1.0564,              0.0017261,              0.0017261,              0.0017261
                     86,                  1.568,                 1.1972,                 1.3085,                0.95323,                      1,                  0.995,                 0.6965,                 1.3101,                0.95544,                 1.0564,              0.0017228,              0.0017228,              0.0017228
                     87,                 1.3959,                0.97214,                 1.1704,                0.95079,                      1,                  0.995,                 0.6965,                 1.3926,                0.91067,                 1.1499,              0.0017195,              0.0017195,              0.0017195
                     88,                 1.3758,                0.96215,                 1.1637,                0.95079,                      1,                  0.995,                 0.6965,                 1.3926,                0.91067,                 1.1499,              0.0017162,              0.0017162,              0.0017162
                     89,                 1.4443,                 1.0209,                 1.1401,                0.95256,                      1,                  0.995,                0.64675,                 1.5445,                0.89707,                  1.183,              0.0017129,              0.0017129,              0.0017129
                     90,                  1.431,                0.88015,                 1.1266,                0.95256,                      1,                  0.995,                0.64675,                 1.5445,                0.89707,                  1.183,              0.0017096,              0.0017096,              0.0017096
                     91,                 1.3929,                 1.0839,                 1.2657,                0.95256,                      1,                  0.995,                0.64675,                 1.5445,                0.89707,                  1.183,              0.0017063,              0.0017063,              0.0017063
                     92,                 1.5315,                 1.0836,                 1.1949,                0.95616,                      1,                  0.995,                0.64672,                 1.6522,                  0.909,                 1.1958,               0.001703,               0.001703,               0.001703
                     93,                 1.4863,                0.95135,                 1.1823,                0.95616,                      1,                  0.995,                0.64672,                 1.6522,                  0.909,                 1.1958,              0.0016997,              0.0016997,              0.0016997
                     94,                 1.5566,                 1.0297,                 1.2127,                0.95616,                      1,                  0.995,                0.64672,                 1.6522,                  0.909,                 1.1958,              0.0016964,              0.0016964,              0.0016964
                     95,                  1.363,                0.99588,                 1.1296,                0.97576,                      1,                  0.995,                0.64679,                 1.5272,                0.86736,                 1.1904,              0.0016931,              0.0016931,              0.0016931
                     96,                 1.4268,                0.96914,                 1.1633,                0.97576,                      1,                  0.995,                0.64679,                 1.5272,                0.86736,                 1.1904,              0.0016898,              0.0016898,              0.0016898
                     97,                 1.4592,                  1.102,                 1.1456,                0.89969,                      1,                  0.995,                  0.597,                 1.5549,                 1.0197,                 1.2533,              0.0016865,              0.0016865,              0.0016865
                     98,                  1.288,                 0.9493,                 1.1831,                0.89969,                      1,                  0.995,                  0.597,                 1.5549,                 1.0197,                 1.2533,              0.0016832,              0.0016832,              0.0016832
                     99,                 1.3659,                0.92326,                  1.231,                0.89969,                      1,                  0.995,                  0.597,                 1.5549,                 1.0197,                 1.2533,              0.0016799,              0.0016799,              0.0016799
                    100,                 1.2796,                0.92185,                 1.0932,                0.87688,                      1,                  0.995,                0.50349,                 1.8956,                 1.2609,                 1.4636,              0.0016766,              0.0016766,              0.0016766
                    101,                 1.3447,                0.91597,                 1.0495,                0.87688,                      1,                  0.995,                0.50349,                 1.8956,                 1.2609,                 1.4636,              0.0016733,              0.0016733,              0.0016733
                    102,                  1.463,                 1.2173,                 1.1973,                0.87688,                      1,                  0.995,                0.50349,                 1.8956,                 1.2609,                 1.4636,                0.00167,                0.00167,                0.00167
                    103,                 1.4935,                 1.0732,                 1.1886,                0.94633,                      1,                  0.995,                0.48759,                 1.9779,                 1.1665,                 1.3698,              0.0016667,              0.0016667,              0.0016667
                    104,                 1.3997,                0.99837,                 1.1035,                0.94633,                      1,                  0.995,                0.48759,                 1.9779,                 1.1665,                 1.3698,              0.0016634,              0.0016634,              0.0016634
                    105,                 1.3382,                0.93007,                  1.094,                0.97577,                      1,                  0.995,                0.53475,                 1.8319,                 1.0012,                 1.1403,              0.0016601,              0.0016601,              0.0016601
                    106,                 1.4572,                  1.263,                 1.1579,                0.97577,                      1,                  0.995,                0.53475,                 1.8319,                 1.0012,                 1.1403,              0.0016568,              0.0016568,              0.0016568
                    107,                 1.4194,                0.87473,                 1.0983,                0.97577,                      1,                  0.995,                0.53475,                 1.8319,                 1.0012,                 1.1403,              0.0016535,              0.0016535,              0.0016535
                    108,                 1.3349,                0.90958,                 1.0219,                0.97509,                      1,                  0.995,                  0.597,                 1.6508,                0.98069,                0.99524,              0.0016502,              0.0016502,              0.0016502
                    109,                 1.3442,                0.95831,                 1.1263,                0.97509,                      1,                  0.995,                  0.597,                 1.6508,                0.98069,                0.99524,              0.0016469,              0.0016469,              0.0016469
                    110,                 1.4142,                 0.9017,                  1.063,                0.97509,                      1,                  0.995,                  0.597,                 1.6508,                0.98069,                0.99524,              0.0016436,              0.0016436,              0.0016436
                    111,                 1.4381,                 1.0003,                 1.2101,                0.97254,                      1,                  0.995,                 0.6965,                 1.5117,                0.92763,                0.93817,              0.0016403,              0.0016403,              0.0016403
                    112,                  1.418,                0.92564,                 1.1517,                0.97254,                      1,                  0.995,                 0.6965,                 1.5117,                0.92763,                0.93817,               0.001637,               0.001637,               0.001637
                    113,                 1.3756,                 1.0971,                 1.2047,                0.97334,                      1,                  0.995,                 0.6965,                 1.4992,                0.89641,                0.92181,              0.0016337,              0.0016337,              0.0016337
                    114,                 1.1988,                0.87112,                 1.0743,                0.97334,                      1,                  0.995,                 0.6965,                 1.4992,                0.89641,                0.92181,              0.0016304,              0.0016304,              0.0016304
                    115,                 1.2615,                0.86815,                 1.1383,                0.97334,                      1,                  0.995,                 0.6965,                 1.4992,                0.89641,                0.92181,              0.0016271,              0.0016271,              0.0016271
                    116,                 1.2757,                0.83259,                 1.0286,                0.97365,                      1,                  0.995,                0.62239,                 1.5552,                0.89199,                0.94249,              0.0016238,              0.0016238,              0.0016238
                    117,                  1.366,                 0.9293,                 1.1354,                0.97365,                      1,                  0.995,                0.62239,                 1.5552,                0.89199,                0.94249,              0.0016205,              0.0016205,              0.0016205
                    118,                 1.2876,                0.98725,                 1.2181,                0.97365,                      1,                  0.995,                0.62239,                 1.5552,                0.89199,                0.94249,              0.0016172,              0.0016172,              0.0016172
                    119,                  1.274,                 0.8244,                 1.0818,                0.93904,                      1,                  0.995,                0.64748,                 1.5089,                0.89563,                 0.9379,              0.0016139,              0.0016139,              0.0016139
                    120,                 1.2691,                0.85294,                 1.0445,                0.93904,                      1,                  0.995,                0.64748,                 1.5089,                0.89563,                 0.9379,              0.0016106,              0.0016106,              0.0016106
                    121,                 1.4565,                 1.0877,                 1.1667,                0.96847,                      1,                  0.995,                0.64766,                 1.3793,                0.87761,                0.93042,              0.0016073,              0.0016073,              0.0016073
                    122,                 1.3052,                0.81158,                 1.0836,                0.96847,                      1,                  0.995,                0.64766,                 1.3793,                0.87761,                0.93042,               0.001604,               0.001604,               0.001604
                    123,                 1.2769,                0.91043,                 1.0354,                0.96847,                      1,                  0.995,                0.64766,                 1.3793,                0.87761,                0.93042,              0.0016007,              0.0016007,              0.0016007
                    124,                 1.1791,                0.78176,                 1.0346,                0.96868,                      1,                  0.995,                0.74706,                 1.1972,                0.84016,                0.89449,              0.0015974,              0.0015974,              0.0015974
                    125,                 1.3129,                0.99089,                 1.1585,                0.96868,                      1,                  0.995,                0.74706,                 1.1972,                0.84016,                0.89449,              0.0015941,              0.0015941,              0.0015941
                    126,                 1.3075,                0.93506,                 1.1786,                0.96868,                      1,                  0.995,                0.74706,                 1.1972,                0.84016,                0.89449,              0.0015908,              0.0015908,              0.0015908
                    127,                 1.2581,                0.90644,                 1.0905,                0.95163,                      1,                  0.995,                0.82125,                 1.0116,                0.77684,                0.87483,              0.0015875,              0.0015875,              0.0015875
                    128,                 1.2127,                0.92943,                 1.0651,                0.95163,                      1,                  0.995,                0.82125,                 1.0116,                0.77684,                0.87483,              0.0015842,              0.0015842,              0.0015842
                    129,                 1.1923,                0.92317,                 1.0499,                0.96085,                      1,                  0.995,                0.82136,                 1.0052,                0.74694,                0.84506,              0.0015809,              0.0015809,              0.0015809
                    130,                 1.1467,                0.90612,                 1.0317,                0.96085,                      1,                  0.995,                0.82136,                 1.0052,                0.74694,                0.84506,              0.0015776,              0.0015776,              0.0015776
                    131,                 1.2634,                 0.9355,                 1.1336,                0.96085,                      1,                  0.995,                0.82136,                 1.0052,                0.74694,                0.84506,              0.0015743,              0.0015743,              0.0015743
                    132,                 1.2372,                0.91729,                 1.1578,                0.96826,                      1,                  0.995,                  0.796,                 1.0803,                0.73317,                0.83536,               0.001571,               0.001571,               0.001571
                    133,                 1.0511,                 0.7851,                 1.0469,                0.96826,                      1,                  0.995,                  0.796,                 1.0803,                0.73317,                0.83536,              0.0015677,              0.0015677,              0.0015677
