                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.56784,                0.72097,                0.49757,                 1.0343,                0.98455,                0.99809,                  0.995,                0.82078,                0.98455,                0.99809,                  0.995,                0.92146,                0.97824,                0.64946,                0.66752,                 1.1773,              0.0014662,              0.0014662,              0.0014662
                     76,                0.62602,                0.87684,                0.53823,                 1.0373,                0.98617,                      1,                  0.995,                0.86268,                0.98617,                      1,                  0.995,                0.91867,                0.73583,                0.60455,                0.64051,                 1.1077,              0.0014635,              0.0014635,              0.0014635
                     77,                0.58287,                0.89118,                0.51812,                 1.0362,                0.98983,                      1,                  0.995,                0.84323,                0.98983,                      1,                  0.995,                0.90366,                 0.8475,                0.60965,                0.60949,                 1.2105,              0.0014607,              0.0014607,              0.0014607
                     78,                0.63718,                0.88052,                0.55957,                 1.0612,                0.98755,                      1,                  0.995,                0.84541,                0.98755,                      1,                  0.995,                 0.8806,                0.83562,                0.62698,                0.61665,                 1.2495,               0.001458,               0.001458,               0.001458
                     79,                0.58044,                0.73836,                0.49466,                 1.0379,                0.96992,                0.99459,                  0.995,                0.84099,                0.96992,                0.99459,                  0.995,                0.90616,                0.81931,                0.62115,                 0.6807,                 1.2172,              0.0014552,              0.0014552,              0.0014552
                     80,                0.56661,                0.78529,                0.49884,                 1.0391,                0.97025,                0.99275,                  0.995,                0.85007,                0.97025,                0.99275,                  0.995,                 0.9211,                0.89045,                0.65084,                0.71418,                 1.2576,              0.0014525,              0.0014525,              0.0014525
                     81,                0.52744,                0.77317,                0.50017,                 1.0097,                0.98426,                0.99699,                  0.995,                0.82962,                0.98426,                0.99699,                  0.995,                0.91024,                0.82526,                0.66059,                 0.6804,                 1.2517,              0.0014497,              0.0014497,              0.0014497
                     82,                 0.5838,                0.75988,                0.49597,                 1.0316,                0.99412,                0.99701,                  0.995,                0.87284,                0.99412,                0.99701,                  0.995,                0.91918,                 0.7342,                0.66228,                0.63362,                  1.202,               0.001447,               0.001447,               0.001447
                     83,                0.59031,                0.78464,                0.50611,                 1.0292,                0.98302,                      1,                  0.995,                0.81833,                0.98302,                      1,                  0.995,                 0.9085,                0.95065,                  0.796,                0.61661,                 1.2944,              0.0014442,              0.0014442,              0.0014442
                     84,                0.55473,                0.72388,                0.47497,                 1.0282,                0.97603,                      1,                  0.995,                0.78642,                0.97603,                      1,                  0.995,                0.87182,                  1.067,                0.88182,                0.66125,                 1.3506,              0.0014415,              0.0014415,              0.0014415
                     85,                0.61442,                0.83925,                0.51334,                 1.0437,                0.94744,                      1,                0.98861,                0.79324,                0.94744,                      1,                0.98861,                 0.8862,                0.98663,                   1.01,                0.67823,                 1.2067,              0.0014387,              0.0014387,              0.0014387
                     86,                0.58511,                0.78024,                0.48897,                 1.0292,                 0.9519,                0.97059,                0.99361,                0.84504,                 0.9519,                0.97059,                0.99361,                0.89641,                0.80907,                0.94962,                0.65765,                 1.1571,               0.001436,               0.001436,               0.001436
                     87,                 0.5903,                0.81295,                0.49623,                   1.05,                0.91826,                      1,                  0.995,                0.81567,                0.91826,                      1,                  0.995,                0.89113,                0.80273,                0.93718,                0.63398,                 1.1587,              0.0014332,              0.0014332,              0.0014332
                     88,                0.60451,                0.80269,                0.50968,                 1.0375,                0.93389,                0.97999,                  0.995,                0.80847,                0.93389,                0.97999,                  0.995,                0.87712,                0.86935,                0.96357,                0.66566,                 1.2286,              0.0014305,              0.0014305,              0.0014305
                     89,                0.60557,                0.80286,                0.50176,                  1.034,                0.96265,                0.99444,                  0.995,                0.83576,                0.96265,                0.99444,                  0.995,                0.89029,                0.96958,                0.83072,                0.71659,                  1.264,              0.0014277,              0.0014277,              0.0014277
                     90,                0.56867,                0.75522,                0.49501,                  1.027,                0.97688,                0.97575,                  0.995,                0.81527,                0.97688,                0.97575,                  0.995,                0.88563,                 1.0365,                0.78493,                0.71929,                 1.3038,               0.001425,               0.001425,               0.001425
                     91,                0.54557,                0.75489,                0.48656,                  1.003,                 0.9565,                0.99316,                  0.995,                0.80259,                 0.9565,                0.99316,                  0.995,                0.87978,                 1.0288,                0.75871,                0.74417,                 1.3416,              0.0014222,              0.0014222,              0.0014222
                     92,                0.52117,                0.66049,                0.45839,                 1.0034,                0.96314,                0.99311,                  0.995,                0.80031,                0.96314,                0.99311,                  0.995,                0.88132,                 1.0195,                0.74589,                0.74207,                 1.3565,              0.0014195,              0.0014195,              0.0014195
                     93,                0.55616,                0.69259,                0.49141,                  1.029,                0.96665,                0.99443,                  0.995,                0.80882,                0.96665,                0.99443,                  0.995,                0.87323,                0.99393,                0.77944,                0.68338,                 1.3757,              0.0014167,              0.0014167,              0.0014167
